world_rank,institution,country,quality_of_education,quality_of_faculty,influence,patents,Average,rank_by_avg,GRE Score,TOEFL Score,CGPA
376,Pontifical Catholic University of Chile,Chile,343,218,310,396,316.75,340,304,101,7.66
377,University of Bari Aldo Moro,Italy,367,218,322,527,358.5,413,297,96,7.43
378,University of Texas Medical Branch at Galveston,USA,367,218,311,333,307.25,320,290,100,7.56
379,University of Delhi,India,240,218,763,797,504.5,794,303,98,7.65
380,"Washington State University, Pullman",USA,367,131,234,298,257.5,239,311,99,8.43
381,Temple University,USA,272,218,349,211,262.5,243,322,104,8.84
382,University of Milan - Bicocca,Italy,367,218,305,468,339.5,381,319,105,8.67
383,University of Turku,Finland,367,218,319,568,368,429,324,110,9.15
384,Chonnam National University,South Korea,367,218,589,109,320.75,348,300,100,8.26
385,University of Lorraine,France,216,190,342,208,239,203,340,113,9.74
386,National Chiao Tung University,Taiwan,367,218,651,871,526.75,841,335,117,9.82
387,Catholic University of the Sacred Heart,Italy,367,218,482,770,459.25,670,302,101,7.96
388,"University at Albany, SUNY",USA,180,165,374,531,312.5,334,307,105,8.1
389,Xi'an Jiaotong University,China,367,218,583,174,335.5,370,296,97,7.8
390,Ewha Womans University,South Korea,367,218,509,107,300.25,300,320,108,8.44
391,Jilin University,China,220,218,452,551,360.25,417,314,102,8.24
392,Tokyo Medical and Dental University,Japan,367,218,352,272,302.25,305,318,106,8.65
393,Scuola Normale Superiore di Pisa,Italy,263,61,526,871,430.25,575,326,112,9.12
394,University of Central Florida,USA,367,218,386,159,282.5,274,317,104,8.76
395,Innsbruck Medical University,Austria,367,218,413,678,419,552,329,111,9.23
396,Beijing Normal University,China,57,218,492,755,380.5,454,324,110,9.04
397,Polytechnic University of Milan,Italy,103,191,510,292,274,258,325,107,9.11
398,University of Seville,Spain,367,218,516,104,301.25,304,330,116,9.45
399,University of Nebraska Medical Center,USA,367,218,399,253,309.25,326,312,103,8.78
400,Huazhong University of Science and Technology,China,367,218,626,242,363.25,423,333,117,9.66
401,Kyung Hee University,South Korea,245,218,584,95,285.5,279,287,103,8.95
402,Chalmers University of Technology,Sweden,361,218,426,871,469,704,274,92,8.17
403,Brigham Young University,USA,298,218,424,134,268.5,248,266,89,7.3
404,University of Campinas,Brazil,367,218,575,197,339.25,379,272,95,7.97
405,University of Bath,United Kingdom,367,218,378,478,360.25,417,264,88,7.51
406,Saint Petersburg State University,Russia,47,218,574,816,413.75,535,280,100,8.64
407,National Tsing Hua University,Taiwan,262,218,425,731,409,524,271,94,7.5
408,University of Twente,Netherlands,367,218,511,288,346,392,258,86,7.2
409,University of Alabama - Tuscaloosa,USA,325,218,490,314,336.75,371,252,87,7.3
410,Harbin Institute of Technology,China,367,218,847,375,451.75,639,273,93,7.9
411,University of Verona,Italy,367,218,464,736,446.25,626,275,91,7.7
412,Oklahoma State University–Stillwater,USA,239,218,648,303,352,406,277,96,8.3
413,Shandong University,China,367,218,604,538,431.75,576,278,97,8.4
414,George Mason University,USA,367,98,371,526,340.5,385,257,94,7.3
415,Wuhan University,China,367,218,612,576,443.25,613,261,89,7.5
416,Swedish University of Agricultural Sciences,Sweden,146,218,268,871,375.75,443,264,90,7.6
417,Concordia University,Canada,367,218,745,718,512,812,267,92,8
418,Chiba University,Japan,367,218,343,267,298.75,295,269,91,7.3
419,Kumamoto University,Japan,308,218,441,152,279.75,269,268,95,8.1
420,Tongji University,China,153,218,480,373,306,317,253,87,7.8
421,Aalto University,Finland,367,218,403,246,308.5,322,262,92,7.2
422,Chonbuk National University,South Korea,367,218,774,83,360.5,419,275,99,7.7
423,Peking Union Medical College,China,367,218,297,797,419.75,556,278,101,8.8
424,Georgia Regents University,USA,367,218,418,481,371,435,284,104,9
425,University of Chile,Chile,242,218,351,489,325,352,286,104,9.1
426,Lancaster University,United Kingdom,367,218,398,673,414,537,290,105,8.9
427,Vienna University of Technology,Austria,363,218,377,171,282.25,273,272,94,8.1
428,University of Denver,USA,312,218,522,760,453,644,248,83,6.8
429,University of Arkansas for Medical Sciences,USA,367,218,565,340,372.5,439,245,78,6.5
430,Grenoble Institute of Technology,France,144,188,520,345,299.25,297,260,84,6.6
431,University of Granada,Spain,367,218,449,190,306,317,250,82,7.4
432,University of Modena and Reggio Emilia,Italy,367,218,474,709,442,610,277,88,7.6
433,Ajou University,South Korea,367,218,729,89,350.75,402,288,103,8.7
434,Gyeongsang National University,South Korea,367,218,673,93,337.75,373,290,99,8.9
435,Technical University of Madrid,Spain,215,218,697,110,310,328,281,97,9.1
436,University College Cork,Ireland,367,218,431,195,302.75,306,270,95,8.5
437,Loyola University Chicago,USA,367,218,438,713,434,585,249,91,7.7
438,Central South University,China,367,218,783,444,453,644,250,90,7.1
439,South China University of Technology,China,367,218,620,196,350.25,399,254,90,6.8
440,Polytechnic University of Valencia,Spain,367,218,505,155,311.25,331,257,93,7
441,West Virginia University,USA,328,218,409,617,393,483,258,95,7.3
442,University of Tampere,Finland,367,218,439,679,425.75,567,266,90,7.5
443,Southeast University,China,168,218,702,149,309.25,326,263,92,7.8
444,Miami University,USA,367,218,543,871,499.75,785,282,102,8.4
445,University of Dayton,USA,348,218,818,675,514.75,821,276,98,8.7
446,University of Siena,Italy,367,218,365,712,415.5,542,272,95,8.4
447,University of Oulu,Finland,275,218,344,521,339.5,381,279,99,8.6
448,Indian Institute of Science,India,367,218,537,239,340.25,384,289,104,9
449,Macquarie University,Australia,367,218,292,530,351.75,405,271,95,8.15
450,University of Rostock,Germany,364,218,591,325,374.5,442,277,96,7.7
451,Jagiellonian University,Poland,367,218,465,355,351.25,404,263,83,7.6
452,Pusan National University,South Korea,367,218,488,147,305,314,262,85,7.2
453,University of Strathclyde,United Kingdom,367,218,467,305,339.25,379,284,101,7.3
454,"University of Nevada, Reno",USA,367,218,382,708,418.75,551,274,97,7.4
455,University of Saskatchewan,Canada,336,218,442,427,355.75,408,272,95,7.3
456,University of Parma,Italy,367,218,463,741,447.25,630,270,88,7
457,Kanazawa University,Japan,367,218,419,350,338.5,375,266,87,6.7
458,Eötvös Loránd University,Hungary,89,116,444,724,343.25,388,248,84,6.9
459,Aristotle University of Thessaloniki,Greece,367,218,683,756,506,800,250,84,6.1
460,Ohio University,USA,205,218,472,224,279.75,269,261,89,7.6
461,University of Iceland,Iceland,367,218,295,839,429.75,574,259,85,7.4
462,University of Warsaw,Poland,118,150,462,716,361.5,421,257,86,7.5
463,Syracuse University,USA,138,218,494,392,310.5,329,254,90,7.5
464,Bielefeld University,Germany,367,218,375,774,433.5,581,265,92,7.8
465,Juntendo University,Japan,367,218,498,853,484,748,275,96,8
466,University of Wyoming,USA,367,218,316,380,320.25,347,275,97,8.22
467,University of Wollongong,Australia,367,218,433,493,377.75,448,277,99,8.32
468,Niigata University,Japan,367,218,514,238,334.25,368,266,92,7.94
469,Texas Tech University (TTU),USA,367,218,618,809,503,789,268,94,8.52
470,Middle East Technical University,Turkey,367,218,879,871,583.75,961,278,100,8.46
471,École normale supérieure de Lyon,France,367,135,210,589,325.25,353,282,103,8.94
472,Brunel University,United Kingdom,367,218,676,667,482,744,286,97,9.06
473,Nihon University,Japan,301,218,588,113,305,314,271,96,8.75
474,Osaka City University,Japan,108,218,536,374,309,324,264,93,8.34
475,University of Rennes 1,France,367,218,341,344,317.5,343,264,91,8.2
476,University of Oklahoma Health Sciences Center,USA,367,218,461,482,382,460,279,99,7.86
477,East China University of Science and Technology,China,367,218,828,184,399.25,498,277,97,8.02
478,University of KwaZulu-Natal,South Africa,367,218,397,539,380.25,453,251,84,7.52
479,Sichuan University,China,367,218,478,597,415,540,246,80,6.84
480,Illinois Institute of Technology,USA,274,218,713,861,516.5,826,244,78,6.66
481,Tokyo University of Science,Japan,367,218,530,191,326.5,356,262,90,7.32
482,"University of Science, Malaysia",Malaysia,367,218,888,94,391.75,480,290,105,8.8
483,Clemson University,USA,367,218,497,510,398,495,270,95,8.52
484,University of Zaragoza,Spain,366,218,675,276,383.75,462,272,100,8.66
485,University of the Basque Country,Spain,367,218,387,266,309.5,327,290,100,8.75
486,Nagasaki University,Japan,299,218,607,233,339.25,379,269,88,7.96
487,Technical University of Dortmund,Germany,367,218,528,284,349.25,396,265,91,7.72
488,University of Hawaii at Manoa,USA,367,153,213,490,305.75,315,267,92,7.58
489,University of Nebraska Omaha,USA,367,218,606,871,515.5,824,264,93,7.44
490,University of Konstanz,Germany,367,218,337,614,384,463,266,94,8.06
491,Panjab University,India,333,218,786,824,540.25,878,268,91,7.22
492,University of Hanover,Germany,367,218,507,250,335.5,370,249,82,6.96
493,"University of Maryland, Baltimore County",USA,367,218,391,423,349.75,397,248,83,7.33
494,University of Newcastle,Australia,367,218,496,322,350.75,402,251,82,7.18
495,University of Ulsan,South Korea,367,218,599,370,388.5,477,253,84,6.96
496,Renmin University of China,China,367,218,936,715,559,916,254,85,7.14
497,Martin Luther University of Halle-Wittenberg,Germany,358,210,345,706,404.75,515,256,85,7.3
498,University of Malaya,Malaysia,367,218,877,274,434,585,281,105,8.26
499,University of Savoy,France,367,218,435,731,437.75,600,282,104,8.54
500,University of Udine,Italy,367,218,390,634,402.25,506,273,98,8.18
501,Tokyo Metropolitan University,Japan,367,218,460,574,404.75,515,272,92,7.76
502,University of Sherbrooke,Canada,367,218,421,853,464.75,690,262,90,7.42
503,University of Brescia,Italy,367,218,614,816,503.75,792,264,91,7.55
504,University of Ljubljana,Slovenia,367,218,415,507,376.75,445,267,89,7.77
505,University of Nice Sophia Antipolis,France,266,218,259,513,314,337,276,97,8.35
506,University of Hull,United Kingdom,305,162,557,524,387,475,266,95,8.08
507,University of Coimbra,Portugal,359,218,423,459,364.75,427,279,96,8.48
508,Creighton University,USA,367,218,724,615,481,740,288,102,8.76
509,Georgia State University,USA,367,218,484,360,357.25,411,281,101,8.68
510,University of Wisconsin–Milwaukee,USA,229,218,491,871,452.25,641,254,88,7.94
511,Catholic University of Korea,South Korea,367,218,792,139,379,449,255,93,7.78
512,University of Tokushima,Japan,107,218,453,247,256.25,237,271,94,7.98
513,Yokohama City University,Japan,367,218,370,359,328.5,362,251,92,7.64
514,Lanzhou University,China,367,218,689,624,474.5,723,270,95,7.86
515,University of Crete,Greece,367,218,518,871,493.5,765,261,90,7.75
516,SUNY Downstate Medical Center,USA,367,155,446,660,407,521,260,91,8.34
517,University of Potsdam,Germany,367,218,313,584,370.5,434,249,87,7.92
518,Yokohama National University,Japan,88,135,865,440,382,460,240,89,6.76
519,New Mexico State University,USA,367,218,585,871,510.25,807,246,84,6.58
520,University of Bayreuth,Germany,367,218,331,603,379.75,452,277,89,8.14
521,Bar-Ilan University,Israel,280,218,410,338,311.5,333,285,102,8.86
522,University of Mississippi - Oxford Campus,USA,367,218,851,611,511.75,811,284,104,8.78
523,University of Tasmania,Australia,367,218,261,727,393.25,484,260,91,7.66
524,Graduate University for Advanced Studies,Japan,367,218,291,871,436.75,595,258,93,7.52
525,University of Surrey,United Kingdom,217,218,553,300,322,350,251,91,7.77
526,Federal University of Minas Gerais,Brazil,367,218,521,207,328.25,361,250,85,7.96
527,University of Tromsø - The Arctic University of Norway,Norway,367,218,407,824,454,651,273,98,8.62
528,University of Palermo,Italy,367,218,545,559,422.25,561,269,97,8.01
529,Shinshu University,Japan,367,218,602,244,357.75,412,276,97,8.4
530,University of Science and Technology Beijing,China,367,218,937,408,482.5,745,283,103,8.65
531,University of Catania,Italy,213,218,693,853,494.25,768,289,99,9.06
532,Mahidol University,Thailand,367,218,372,861,454.5,653,253,90,7.95
533,University of Canterbury,New Zealand,190,218,437,871,429,573,259,90,7.86
534,Indian Institute of Technology Madras,India,367,218,943,317,461.25,675,273,97,8.08
535,University of Bremen,Germany,367,218,289,515,347.25,395,283,98,8.58
536,Otto-von-Guericke University Magdeburg,Germany,367,218,629,388,400.5,501,264,94,8.07
537,University of Tartu,Estonia,365,218,318,426,331.75,365,262,88,7.75
538,University of Windsor,Canada,367,218,912,658,538.75,873,266,85,7.46
539,University of Nantes,France,367,218,420,579,396,492,276,101,8.38
540,"Royal Holloway, University of London",United Kingdom,367,218,306,556,361.75,422,268,94,8.42
541,James Cook University,Australia,367,218,248,665,374.5,442,279,95,8.45
542,National Yang-Ming University,Taiwan,367,218,517,824,481.5,743,282,103,8.66
543,University of Akron,USA,367,218,653,166,351,403,281,100,8.74
544,National Chung Hsing University,Taiwan,367,218,682,871,534.5,862,290,105,9.22
545,City University London,United Kingdom,367,218,861,601,511.75,811,275,97,8.26
546,New York Medical College,USA,367,218,622,719,481.5,743,270,98,7.94
547,Nara Institute of Science and Technology,Japan,367,218,329,270,296,292,265,90,7.78
548,École Centrale Paris,France,367,218,827,839,562.75,928,276,99,8.41
549,Auburn University,USA,367,218,569,425,394.75,489,289,101,9.1
550,University of Arkansas - Fayetteville,USA,204,218,571,409,350.5,400,261,91,7.56
551,University of Zagreb,Croatia,367,218,541,650,444,619,284,99,8.73
552,University of Lübeck,Germany,367,218,394,629,402,504,282,101,8.58
553,Hunan University,China,367,218,906,816,576.75,953,271,97,8.36
554,University of Missouri–Kansas City,USA,311,218,447,687,415.75,543,274,90,8.05
555,Tokyo Women's Medical University,Japan,367,218,594,362,385.25,468,276,93,8.19
556,Montana State University - Bozeman,USA,367,218,323,744,413,533,262,94,7.99
557,University of Aveiro,Portugal,367,218,680,212,369.25,431,265,90,7.64
558,"National University of Ireland, Galway",Ireland,367,218,546,293,356,409,259,89,7.56
559,University of Oviedo,Spain,367,218,445,579,402.25,506,256,91,7.44
560,Dongguk University,South Korea,367,218,917,108,402.5,507,247,85,7.2
561,University of Trento,Italy,367,218,556,861,500.5,786,265,88,7.16
562,University Lille 1: Sciences and Technologies,France,367,218,400,546,382.75,461,248,84,6.76
563,Chang Gung University,Taiwan,367,218,598,824,501.75,787,268,94,7.8
564,National Central University,Taiwan,225,218,468,839,437.5,598,267,90,7.86
565,Aalborg University,Denmark,367,218,660,401,411.5,531,279,96,8.31
566,Utah State University,USA,166,218,414,371,292.25,285,272,95,8.27
567,Baylor University,USA,367,218,681,630,474,720,252,87,7.63
568,Bangor University,United Kingdom,260,218,568,342,347,394,263,87,7.57
569,King Saud University,Saudi Arabia,367,218,539,232,339,376,243,82,7.1
570,University of Cagliari,Italy,367,218,567,623,443.75,617,261,84,7.28
571,Kent State University,USA,367,218,436,498,379.75,452,262,86,7.34
572,Central China Normal University,China,367,218,855,778,554.5,904,284,102,8.37
573,University of Fribourg,Switzerland,232,218,428,787,416.25,546,272,95,8.43
574,Medical University of Graz,Austria,367,218,628,576,447.25,630,273,98,8.53
575,Second University of Naples,Italy,367,218,641,824,512.5,814,271,96,8.27
576,International School for Advanced Studies,Italy,367,218,406,768,439.75,602,270,96,8.17
577,Tampere University of Technology,Finland,367,218,646,746,494.25,768,279,104,8.46
578,Inha University,South Korea,367,218,780,273,409.5,525,269,95,8.34
579,Deakin University,Australia,367,218,647,636,467,699,259,93,7.42
580,National Polytechnic Institute of Toulouse,France,367,218,672,413,417.5,548,257,87,7.57
581,Sogang University,South Korea,367,218,798,115,374.5,442,250,89,7.46
582,University of Ioannina,Greece,367,218,836,871,573,942,255,92,7.72
583,Federal University of Rio Grande do Sul,Brazil,367,218,578,787,487.5,755,249,85,7.18
584,University of Graz,Austria,349,204,547,600,425,565,264,95,8.1
585,University of Montana - Missoula,USA,353,218,315,702,397,494,266,91,7.62
586,East China Normal University,China,367,218,645,576,451.5,638,277,98,8.41
587,Plymouth University,United Kingdom,367,218,429,651,416.25,546,267,92,7.98
588,Victoria University of Wellington,New Zealand,317,218,469,809,453.25,647,285,103,8.74
589,Federal University of São Paulo,Brazil,367,218,638,839,515.5,824,281,100,8.66
590,Southern Illinois University Carbondale,USA,208,218,512,588,381.5,456,274,97,8.38
591,University of Alaska Fairbanks,USA,367,218,373,792,437.5,598,274,96,8.46
592,University of Toledo,USA,367,218,555,220,340,382,273,95,8.28
593,Carleton University,Canada,367,218,739,871,548.75,892,272,99,8.24
594,Cranfield University,United Kingdom,367,218,762,549,474,720,286,103,8.83
595,Curtin University,Australia,367,218,384,518,371.75,437,266,94,8.06
596,Indian Institute of Technology Bombay,India,367,218,815,176,394,487,257,92,7.82
597,University of Portsmouth,United Kingdom,367,218,719,765,517.25,827,256,90,7.56
598,Osaka Prefecture University,Japan,367,218,671,187,360.75,420,260,91,7.63
599,Nagoya City University,Japan,367,218,525,400,377.5,447,261,89,7.73
600,LSU Health Sciences Center New Orleans,USA,367,218,544,661,447.5,632,263,92,7.99
601,Tata Institute of Fundamental Research,India,367,218,450,792,456.75,661,267,88,7.84
602,Konkuk University,South Korea,367,218,748,204,384.25,464,265,95,7.76
603,University of La Laguna,Spain,367,218,336,661,395.5,490,290,105,9.21
604,University of Hertfordshire,United Kingdom,367,218,396,839,455,654,284,105,9.17
605,Florida International University,USA,367,218,508,585,419.5,555,248,90,7.84
606,University of Rhode Island,USA,367,218,385,472,360.5,419,245,84,6.95
607,Mississippi State University,USA,155,218,608,566,386.75,474,265,84,7.19
608,Gunma University,Japan,367,218,531,252,342,386,260,87,7.32
609,University of New Orleans,USA,367,218,840,871,574,946,255,91,7.46
610,"Putra University, Malaysia",Malaysia,367,218,900,114,399.75,499,251,89,7.42
611,Memorial University of Newfoundland,Canada,367,218,577,653,453.75,650,275,93,8.36
612,Universidade Nova de Lisboa,Portugal,367,218,477,590,413,533,278,95,8.44
613,Griffith University,Australia,367,218,500,556,410.25,526,288,105,8.96
614,Indian Institute of Technology Kharagpur,India,367,218,974,644,550.75,895,283,104,9.08
615,Soochow University (Suzhou),China,367,218,773,871,557.25,910,281,102,8.72
616,Texas A&M Health Science Center,USA,367,218,440,336,340.25,384,280,101,8.66
617,Semmelweis University,Hungary,367,218,481,670,434,585,272,97,8.56
618,Lille 2 University of Health and Law,France,367,218,631,630,461.5,678,271,94,8.43
619,Kagoshima University,Japan,367,218,706,251,385.5,469,274,95,8.27
620,Flinders University,Australia,122,218,581,686,401.75,503,262,89,7.72
621,Queensland University of Technology,Australia,367,218,750,492,456.75,661,263,88,8.05
622,Tokai University,Japan,367,218,644,448,419.25,553,266,95,7.86
623,Istanbul University,Turkey,253,218,560,871,475.5,724,274,98,8.09
624,Tokyo University of Agriculture and Technology,Japan,367,218,756,264,401.25,502,258,94,7.75
625,Louisiana Tech University,USA,367,218,871,792,562,924,255,90,7.53
626,University of Texas at Arlington,USA,367,218,532,462,394.75,489,246,84,7.33
627,China Agricultural University,China,367,218,362,572,379.75,452,256,95,7.75
628,Chungnam National University,South Korea,367,218,563,290,359.5,414,262,95,7.83
629,University of Minho,Portugal,367,218,652,363,400,500,268,97,7.97
630,"University of Eastern Piedmont Amedeo Avogadro""""",Italy,367,218,623,739,486.75,753,274,96,8.31
631,Open University (UK),United Kingdom,367,218,340,809,433.5,581,263,89,7.95
632,University of Essex,United Kingdom,119,218,695,871,475.75,726,269,91,7.63
633,Paris-Est Créteil Val-de-Marne University,France,367,218,611,824,505,799,262,92,7.57
634,Hacettepe University,Turkey,367,218,630,871,521.5,832,254,85,7.37
635,State University of New York Upstate Medical University,USA,367,218,632,598,453.75,650,280,98,8.61
636,Braunschweig University of Technology,Germany,226,218,383,343,292.5,286,276,96,8.53
637,University of Salamanca,Spain,367,218,483,736,451,637,275,97,8.47
638,Indian Institute of Technology Roorkee,India,367,218,931,871,596.75,974,279,99,8.49
639,Örebro University,Sweden,367,218,747,871,550.75,895,260,89,7.67
640,Northeast Normal University,China,367,218,765,871,555.25,905,249,85,7.19
641,University of Patras,Greece,367,218,704,731,505,799,246,86,6.98
642,Beijing University of Chemical Technology,China,367,218,984,214,445.75,624,267,88,7.45
643,Northern Illinois University,USA,367,218,661,621,466.75,698,274,100,8.06
644,Rovira i Virgili University,Spain,367,218,573,485,410.75,527,275,99,8.34
645,La Trobe University,Australia,367,218,455,803,460.75,672,264,92,7.86
646,Warsaw University of Technology,Poland,344,218,757,824,535.75,865,278,95,8.32
647,Binghamton University,USA,367,218,593,853,507.75,803,266,90,8.03
648,Shizuoka University,Japan,367,218,708,163,364,424,261,89,7.78
649,Hong Kong Baptist University,Hong Kong,367,218,937,691,553.25,901,274,95,8.17
650,Albany Medical College,USA,171,218,771,720,470,709,271,96,8.13
651,Ehime University,Japan,367,218,582,418,396.25,493,270,89,7.87
652,University of Los Andes (Colombia),Colombia,367,218,561,749,473.75,717,266,84,8.3
653,Polytechnic University of Turin,Italy,367,218,798,283,416.5,547,268,85,7.84
654,University of Burgundy,France,224,218,527,774,435.75,590,285,100,8.98
655,University of Idaho,USA,367,218,417,469,367.75,428,271,99,8.42
656,Old Dominion University,USA,367,218,590,379,388.5,477,257,95,7.67
657,Yamaguchi University,Japan,367,218,787,202,393.5,485,259,84,7.86
658,Massey University,New Zealand,367,218,554,723,465.5,693,274,85,7.94
659,Donghua University,China,367,218,962,726,568.25,935,276,87,8.06
660,University of the Balearic Islands,Spain,367,218,558,503,411.5,531,281,104,8.64
661,Portland State University,USA,367,218,548,484,404.25,511,277,93,8.43
662,Marche Polytechnic University,Italy,367,218,649,748,495.5,774,262,89,7.39
663,University of Québec at Montreal,Canada,367,218,534,871,497.5,778,258,88,7.66
664,"UNESP, São Paulo State University",Brazil,367,218,613,627,456.25,659,274,96,8.09
665,Loma Linda University,USA,367,218,755,555,473.75,717,275,95,8.06
666,University of Toyama,Japan,367,218,760,871,554,903,263,87,7.98
667,University of Debrecen,Hungary,367,218,621,499,426.25,569,262,90,7.75
668,"University of Maine, Orono",USA,345,218,427,346,334,367,264,92,7.47
669,Graz University of Technology,Austria,367,218,715,404,426,568,277,98,8.44
670,Gifu University,Japan,367,218,658,403,411.5,531,258,93,7.64
671,University of Jyväskylä,Finland,367,218,443,805,458.25,668,256,90,7.52
672,University of Paris 13,France,367,218,744,700,507.25,802,249,81,7.16
673,University of Girona,Spain,367,218,843,756,546,888,244,80,6.94
674,Keele University,United Kingdom,367,218,533,853,492.75,763,262,84,7.31
675,University of Poitiers,France,255,148,470,754,406.75,520,265,85,7.25
676,University of Insubria,Italy,367,218,564,871,505,799,272,95,8.26
677,Wuhan University of Technology,China,367,218,931,763,569.75,936,279,98,8.75
678,University of Pretoria,South Africa,367,218,513,604,425.5,566,270,86,7.92
679,Banaras Hindu University,India,243,218,904,871,559,916,258,88,7.79
680,University of L'Aquila,Italy,367,218,678,871,533.5,859,254,87,8.03
681,University of Alicante,Spain,367,218,779,262,406.5,519,261,87,7.94
682,American University of Beirut,Lebanon,114,218,892,871,523.75,835,267,95,8.41
683,University of Ulster,United Kingdom,367,218,808,240,408.25,523,262,91,8.09
684,Shanghai University,China,367,218,929,782,574,946,271,96,8.2
685,Comenius University in Bratislava,Slovak Republic,367,218,624,871,520,830,290,97,8.96
686,University of Vigo,Spain,367,218,822,621,507,801,281,101,8.56
687,"University of Nevada, Las Vegas",USA,367,218,473,861,479.75,737,286,103,8.49
688,Swinburne University of Technology,Australia,367,218,456,772,453.25,647,274,99,8.38
689,Tilburg University,Netherlands,367,218,878,871,583.5,960,264,89,8.32
690,University of Messina,Italy,367,218,803,871,564.75,932,263,94,8.3
691,Kaiserslautern University of Technology,Germany,367,218,523,668,444,619,257,90,6.95
692,University of Kent,United Kingdom,367,218,458,861,476,727,250,87,7.17
693,University of Málaga,Spain,367,218,830,203,404.5,512,252,84,7.27
694,Loughborough University,United Kingdom,367,218,806,480,467.75,700,262,83,7.48
695,National Technical University of Athens,Greece,187,218,950,871,556.5,909,266,86,7.62
696,Liverpool John Moores University,United Kingdom,367,218,395,871,462.75,681,267,85,7.87
697,Sharif University of Technology,Iran,116,218,950,871,538.75,873,260,92,7.97
698,"Birkbeck, University of London",United Kingdom,300,218,339,871,432,577,270,105,8.41
699,"University François Rabelais, Tours",France,201,218,499,703,405.25,517,280,99,8.54
700,University of Haifa,Israel,367,218,479,503,391.75,480,255,97,7.95
701,Roma Tre University,Italy,367,218,637,756,494.5,770,259,91,7.3
702,Masaryk University,Czech Republic,367,218,519,705,452.25,641,269,93,8.06
703,University of Salerno,Italy,367,218,835,525,486.25,752,272,90,7.75
704,King Abdullah University of Science and Technology,Saudi Arabia,367,126,529,182,301,302,273,92,7.85
705,Beihang University,China,367,218,865,307,439.25,601,263,91,7.73
706,Fuzhou University,China,367,218,984,463,508,804,271,94,8.1
707,Heriot-Watt University,United Kingdom,367,218,597,439,405.25,517,273,95,8.4
708,China Medical University (Taiwan),Taiwan,367,218,686,871,535.5,864,275,97,8.3
709,University of Cantabria,Spain,367,218,587,571,435.75,590,262,93,7.83
710,Rochester Institute of Technology,USA,367,218,643,587,453.75,650,258,95,7.9
711,Royal College of Surgeons in Ireland,Ireland,367,218,714,446,436.25,592,270,89,8.04
712,San Francisco State University,USA,271,218,572,871,483,746,278,93,8.48
713,Sapporo Medical University,Japan,367,218,837,441,465.75,694,261,92,8.3
714,Indian Institute of Technology Kanpur,India,174,218,848,450,422.5,562,251,85,7.34
715,Johannes Kepler University of Linz,Austria,367,218,659,560,451,637,255,90,7.43
716,Czech Technical University in Prague,Czech Republic,347,218,816,582,490.75,760,258,89,7.37
717,Marquette University,USA,367,218,785,682,513,818,248,86,7.16
718,Missouri University of Science and Technology,USA,367,218,923,592,525,838,250,84,7.31
719,Howard University,USA,294,218,665,296,368.25,430,274,96,8.1
720,Aston University,United Kingdom,367,218,895,306,446.5,628,277,98,7.99
721,École normale supérieure de Cachan,France,121,218,776,871,496.5,777,267,91,7.8
722,Jichi Medical University,Japan,367,218,633,641,464.75,690,273,89,7.74
723,"Rutgers, The State University of New Jersey - Newark",USA,367,218,515,871,492.75,763,264,92,7.57
724,"Palacký University, Olomouc",Czech Republic,367,218,562,475,405.5,518,255,87,7.48
725,Ankara University,Turkey,367,218,728,871,546,888,265,89,7.63
726,University of Belgrade,Serbia,276,218,694,824,503,789,276,101,8.44
727,Toho University,Japan,367,159,824,787,534.25,861,249,85,7.32
728,Kyoto Prefectural University of Medicine,Japan,367,218,752,871,552,897,245,86,7.16
729,Swansea University,United Kingdom,367,218,566,595,436.5,593,274,97,8.07
730,Université de Namur,Belgium,164,218,700,716,449.5,633,247,81,7.19
731,University of Szeged,Hungary,367,205,720,532,456,658,277,98,7.96
732,Kitasato University,Japan,367,218,595,871,512.75,816,261,90,7.42
733,Hasselt University,Belgium,367,218,904,761,562.5,927,258,91,7.51
734,University of Córdoba (Spain),Spain,367,218,725,633,485.75,751,269,93,7.84
735,Åbo Akademi University,Finland,367,218,679,731,498.75,782,262,92,7.95
736,Tottori University,Japan,367,218,721,390,424,563,275,96,8.41
737,Kindai University,Japan,367,218,712,437,433.5,581,269,95,8.09
738,University of Castilla–La Mancha,Spain,367,218,751,519,463.75,685,282,103,8.77
739,University of Augsburg,Germany,367,218,684,792,515.25,822,273,93,8.04
740,"Paul Valéry University, Montpellier III",France,367,218,502,871,489.5,757,274,92,7.96
741,University of Mons,Belgium,367,218,793,517,473.75,717,262,92,7.76
742,Istanbul Technical University,Turkey,367,218,875,839,574.75,949,276,95,8.06
743,"University of Natural Resources and Life Sciences, Vienna",Austria,367,218,627,611,455.75,656,258,91,7.54
744,National University of La Plata,Argentina,367,218,559,871,503.75,792,255,88,7.43
745,University of Calabria,Italy,367,218,890,700,543.75,884,245,81,6.64
746,University of Memphis,USA,367,218,640,394,404.75,515,266,83,6.73
747,"G. d'Annunzio University, Chieti-Pescara",Italy,367,218,615,871,517.75,829,254,82,6.94
748,University of Missouri–St. Louis,USA,367,218,524,634,435.75,590,249,79,6.64
749,Beijing Institute of Technology,China,367,218,969,569,530.75,851,252,84,6.55
750,University of Évry Val d'Essonne,France,367,218,368,871,456,658,263,86,7.34
751,University of South Australia,Australia,367,218,746,431,440.5,604,268,92,7.57
752,University of Alabama in Huntsville,USA,367,218,432,805,455.5,655,275,95,7.97
